bn:00000001n	08641944n
bn:00000002n	08950407n
bn:00000003n	04502851n
bn:00000004n	13742358n
bn:00000005n	13742573n
bn:00000006n	14930670n
bn:00000007n	00475142n
bn:00000008n	13746512n
bn:00000009n	13750415n
bn:00000010n	13750844n
bn:00000011n	13751265n
bn:00000012n	13751404n
bn:00000013n	13751533n
bn:00000014n	13751829n
bn:00000015n	13752443n
bn:00000016n	13752172n
bn:00000017n	13746672n
bn:00000018n	00637145n
bn:00000019n	15185837n
bn:00000020n	13746785n
bn:00000021n	07057539n
bn:00000022n	13750574n
bn:00000023n	13747199n
bn:00000024n	13747348n
bn:00000025n	13750504n
bn:00000026n	15200493n
bn:00000027n	13747469n
bn:00000028n	15148787n
bn:00000029n	15162882n
bn:00000030n	08039312n
bn:00000031n	15228267n
bn:00000032n	13747606n
bn:00000033n	06475933n
bn:00000034n	13747725n
bn:00000035n	13751158n
bn:00000036n	15149933n
bn:00000037n	15150304n
bn:00000038n	15150790n
bn:00000039n	15151175n
bn:00000040n	15151561n
bn:00000041n	08042536n
bn:00000042n	13747865n
bn:00000043n	14639269n
bn:00000044n	15148958n
bn:00000045n	15149271n
bn:00000046n	15149562n
bn:00000047n	15149853n
bn:00000048n	15150224n
bn:00000049n	15150710n
bn:00000050n	15151084n
bn:00000051n	15151470n
bn:00000052n	13747989n
bn:00000053n	15148707n
bn:00000054n	15148867n
bn:00000055n	15149180n
bn:00000056n	15149472n
bn:00000057n	15149763n
bn:00000058n	15150134n
bn:00000059n	15150618n
bn:00000060n	15150993n
bn:00000061n	15151379n
bn:00000062n	06435651n
bn:00000063n	06459978n
bn:00000064n	06435004n
bn:00000065n	06460776n
bn:00000066n	06434650n
bn:00000067n	06265272n
bn:00000068n	10839791n
bn:00000069n	10830456n
bn:00000070n	10827873n
bn:00000071n	10832085n
bn:00000072n	10832568n
bn:00000073n	10092978n
bn:00000074n	11188316n
bn:00000075n	13743269n
bn:00000076n	00475273n
bn:00000077n	15010038n
bn:00000078n	14615822n
bn:00000079n	13748128n
bn:00000080n	05655810n
bn:00000081n	13748246n
bn:00000082n	13748367n
bn:00000083n	14639368n
bn:00000084n	13748493n
bn:00000085n	13748622n
bn:00000086n	15155220n
bn:00000087n	14639467n
bn:00000088n	15118011n
bn:00000089n	13748763n
bn:00000090n	13748890n
bn:00000091n	13749017n
bn:00000092n	13749146n
bn:00000093n	13749278n
bn:00000094n	06435916n
bn:00000095n	06460167n
bn:00000096n	06435198n
bn:00000097n	06460926n
bn:00000098n	06434826n
bn:00000099n	10569011n
bn:00000100n	13744044n
bn:00000101n	06618937n
bn:00000102n	05939948n
bn:00000103n	00475403n
bn:00000104n	13749407n
bn:00000105n	15228162n
bn:00000106n	15202131n
bn:00000107n	15202230n
bn:00000108n	04427559n
bn:00000109n	08016385n
bn:00000110n	03636062n
bn:00000111n	13744304n
bn:00000112n	00475535n
bn:00000113n	13749527n
bn:00000114n	05911560n
bn:00000115n	13651931n
bn:00000116n	05096820n
bn:00000117n	03389761n
bn:00000118n	03389611n
bn:00000119n	13744521n
bn:00000120n	00475661n
bn:00000121n	14612444n
bn:00000122n	14808273n
bn:00000123n	13749644n
bn:00000124n	13750712n
bn:00000125n	13744722n
bn:00000126n	13749778n
bn:00000127n	15227846n
bn:00000128n	15162523n
